Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Ivan Radenovic,2007,81.0,226.0,83.75,2.75
JR Reynolds,2007,72.0,188.0,75.25,3.25
Chris Richard,2007,79.0,252.0,88.5,9.5
Dustin Salisbery,2007,75.0,208.0,80.0,5.0
Blake Schilb,2007,77.0,214.0,81.0,4.0
Renaldas Seibutis,2007,76.0,185.0,80.75,4.75
Ramon Sessions,2007,74.0,185.0,76.25,2.25
Mustafa Shakur,2007,75.0,185.0,77.5,2.5
Jason Smith,2007,82.75,233.0,82.75,0.0
DJ Strawberry,2007,75.75,199.0,78.5,2.75
Rodney Stuckey,2007,75.75,207.0,79.25,3.5
Curtis Sumpter,2007,78.0,227.0,81.5,3.5
Yue Sun,2007,79.75,212.0,81.0,1.25
Jamaal Tatum,2007,71.5,168.0,74.5,3.0
Reyshawn Terry,2007,78.75,222.0,82.0,3.25
Al Thornton,2007,77.75,221.0,85.0,7.25
Anthony Tolliver,2007,79.0,242.0,86.5,7.5
Ali Traore,2007,80.75,249.0,88.0,7.25
Kyle Visser,2007,82.0,242.0,83.0,1.0
Darryl Watkins,2007,80.75,241.0,87.0,6.25
Major Wingate,2007,80.5,242.0,88.0,7.5
DaShaun Wood,2007,70.75,167.0,72.75,2.0
Julian Wright,2007,78.5,211.0,86.25,7.75
Brandan Wright,2007,80.75,200.0,87.75,7.0
Avis Wyatt,2007,80.75,212.0,85.0,4.25
Jianlian Yi,2007,,-,,
Nick Young,2007,77.0,206.0,84.0,7.0
Thaddeus Young,2007,77.75,210.0,83.5,5.75
Joe Alexander,2008,79.25,220.0,83.5,4.25
Darrell Arthur,2008,79.5,216.0,82.75,3.25
D.J. Augustin,2008,70.0,171.5,75.5,5.5
Jerryd Bayless,2008,73.75,204.0,75.5,1.75
Michael Beasley,2008,79.0,239.0,84.25,5.25
Ramel Bradley,2008,73.25,184.0,77.0,3.75
Tyrone Brazelton,2008,70.0,166.0,73.75,3.75
Takais Brown,2008,79.25,252.0,82.0,2.75
Keith Brumbaugh,2008,79.5,190.0,79.25,-0.25
Stanley Burrell,2008,73.5,201.0,78.25,4.75
Brian Butch,2008,81.5,229.6,83.25,1.75
Jamar Butler,2008,72.25,182.0,76.75,4.5
Pat Calathes,2008,80.75,204.0,81.75,1.0
Joe Crawford,2008,75.0,213.0,77.75,2.75
Chris Daniels,2008,80.25,256.0,84.5,4.25
Joey Dorsey,2008,78.25,265.0,85.75,7.5
Marcus Dove,2008,78.75,208.0,83.5,4.75
Josh Duncan,2008,80.0,230.0,83.5,3.5
Frank Elegar,2008,79.25,210.0,87.25,8.0
Patrick Ewing Jr.,2008,78.0,224.0,84.25,6.25
Gary Forbes,2008,76.5,220.5,83.25,6.75
Shan Foster,2008,76.0,194.5,83.5,7.5
J.R. Giddens,2008,76.0,208.0,83.25,7.25
James Gist,2008,79.0,220.0,88.0,9.0
Vladimir Golubovic,2008,83.25,258.0,86.5,3.25
Eric Gordon,2008,74.0,222.0,81.0,7.0
Kentrell Gransberry,2008,78.75,290.0,82.25,3.5
Donte Greene,2008,80.25,221.0,82.0,1.75
Malik Hairston,2008,76.25,204.0,81.0,4.75
DeVon Hardin,2008,81.5,235.0,87.0,5.5
Richard Hendrix,2008,78.75,250.0,87.0,8.25
George Hill,2008,73.25,181.0,81.0,7.75
Kyle Hines,2008,75.75,234.0,85.25,9.5
Jiri Hubalek,2008,81.5,226.0,82.75,1.25
Lester Hudson,2008,71.75,196.0,80.75,9.0
Othello Hunter,2008,78.5,220.0,87.0,8.5
Darnell Jackson,2008,79.0,240.5,83.25,4.25
Shawn James,2008,79.75,217.0,89.0,9.25
Davon Jefferson,2008,77.25,213.0,81.5,4.25
Joseph Jones,2008,79.0,240.0,84.25,5.25
DeAndre Jordan,2008,81.75,250.0,90.0,8.25
Sasha Kaun,2008,81.0,247.0,88.0,7.0
Marcelus Kemp,2008,75.0,221.0,80.5,5.5
Maarty Leunen,2008,79.25,222.0,80.0,0.75
Longar Longar,2008,81.0,212.5,85.25,4.25
Brook Lopez,2008,83.25,258.0,89.5,6.25
Kevin Love,2008,79.75,255.0,83.25,3.5
Aleks Maric,2008,81.75,273.0,85.0,3.25
O.J. Mayo,2008,75.25,200.0,78.0,2.75
James Mays,2008,78.75,227.0,85.75,7.0
Luc Mbah a Moute,2008,77.75,221.0,86.5,8.75
JaVale McGee,2008,83.0,241.0,90.0,7.0
Drew Neitzel,2008,71.75,175.5,74.5,2.75
DeMarcus Nelson,2008,73.0,198.0,82.0,9.0
David Padgett,2008,82.25,239.5,85.0,2.75
Jeremy Pargo,2008,72.5,208.0,77.0,4.5
Trent Plaisted,2008,81.25,240.0,82.5,1.25
