Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Jimmy Butler,2011,78.0,222.2,79.5,MARQ,37,34.6,15.7,5.1,10.3,0.49,0.5,1.6,0.345,5.1,6.5,0.783,2.4,3.6,6.1,2.3,1.4,0.4,1.5,1.3
Norris Cole,2011,72.25,174.4,74.25,CLEST,36,35.7,21.7,7.0,15.9,0.439,1.4,4.1,0.342,6.3,7.4,0.853,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4
Jon Diebler,2011,77.25,196.6,78.0,OSU,37,35.7,12.6,3.9,7.7,0.507,3.1,6.1,0.502,1.7,2.1,0.81,0.4,2.3,2.6,2.4,1.0,0.1,0.9,1.0
LaceDarius Dunn,2011,75.0,187.8,78.25,BAYL,28,35.3,19.5,6.0,15.2,0.398,3.2,8.9,0.357,4.3,5.1,0.826,0.8,2.9,3.6,2.1,1.4,0.0,3.6,2.4
Kenneth Faried,2011,78.0,224.6,84.0,MRHD,35,34.7,17.3,6.7,10.7,0.623,0.0,0.0,0.0,4.0,6.9,0.577,5.7,8.8,14.5,1.1,1.9,2.3,2.6,3.1
James Fredette,2011,72.75,196.0,76.5,BYU,37,35.8,28.9,9.4,20.7,0.452,3.4,8.5,0.396,6.8,7.6,0.894,0.6,2.8,3.4,4.3,1.3,0.0,3.5,1.3
Andrew Goudelock,2011,73.25,197.6,76.25,C of C,37,35.2,23.7,8.6,18.9,0.455,3.5,8.7,0.407,3.0,3.6,0.821,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
Jordan Hamilton,2011,78.75,228.4,81.5,TEXAS,36,32.2,18.6,6.8,15.3,0.44,2.5,6.5,0.385,2.6,3.4,0.779,2.0,5.7,7.7,2.1,0.9,0.6,2.1,1.8
Justin Harper,2011,80.0,228.0,83.75,RICH,37,31.8,17.9,6.6,12.4,0.534,2.1,4.6,0.448,2.5,3.2,0.797,1.7,5.2,6.9,1.2,0.6,1.2,1.5,2.2
Tobias Harris,2011,78.5,222.8,83.0,TENN,34,29.2,15.3,5.4,11.8,0.46,0.7,2.2,0.303,3.8,5.0,0.753,2.0,5.3,7.3,1.3,0.7,0.9,1.8,2.1
Tyler Honeycutt,2011,78.75,186.8,81.0,UCLA,33,35.0,12.8,4.4,10.8,0.406,1.7,4.6,0.362,2.4,3.2,0.736,1.5,5.7,7.2,2.8,0.9,2.0,3.0,1.6
Scotty Hopson,2011,77.75,204.6,82.5,TENN,32,29.3,17.0,5.9,13.0,0.452,1.7,4.4,0.376,3.6,4.8,0.735,0.9,2.5,3.3,1.3,0.8,0.2,2.8,2.0
